City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temperature (F),Wind Speed
Katherine,AU,1586914765,-14.47,132.27,40,49,89.6,10.29
George Town,MY,1586914689,5.41,100.34,20,83,86.0,2.91
Jamestown,US,1586914612,42.1,-79.24,90,92,36.0,17.22
Palmital,BR,1586914765,-22.79,-50.22,11,83,64.42,3.98
Sabaudia,IT,1586914765,41.3,13.03,54,66,51.01,14.99
Shingū,JP,1586914657,33.73,135.98,100,36,62.6,5.82
Saint-Philippe,RE,1586914690,-21.36,55.77,6,83,77.0,8.05
Bundaberg,AU,1586914766,-24.85,152.35,40,51,80.6,13.87
Saquena,PE,1586914766,-4.67,-73.52,11,76,76.44,1.7
Maasbracht,NL,1586914766,51.14,5.89,48,74,37.4,4.7
Coquimbo,CL,1586914693,-29.95,-71.34,90,82,59.0,3.36
Kahului,US,1586914679,20.89,-156.47,40,65,80.6,6.93
Kloulklubed,PW,1586914767,7.04,134.26,75,74,86.0,9.17
Sabha,LY,1586914767,27.04,14.43,10,14,79.77,10.27
São Filipe,CV,1586914767,14.9,-24.5,78,77,71.94,12.33
College,US,1586914652,64.86,-147.8,75,34,51.8,0.56
Lorengau,PG,1586914678,-2.02,147.27,69,64,85.55,1.86
Lavrentiya,RU,1586914669,65.58,-171.0,100,98,29.71,10.25
Punta Arenas,CL,1586914716,-53.15,-70.92,75,81,46.4,12.75
Sibolga,ID,1586914768,1.74,98.78,77,63,87.73,0.92
Barrow,US,1586914661,71.29,-156.79,90,85,12.2,12.75
Taoudenni,ML,1586914768,22.68,-3.98,100,64,70.16,12.77
Vostok,RU,1586914666,46.49,135.88,47,43,42.39,8.75
Ribeira Grande,PT,1586914769,38.52,-28.7,40,76,50.0,11.41
Castro,BR,1586914686,-24.79,-50.01,0,65,52.66,2.93
Susurluk,TR,1586914769,39.91,28.16,75,81,53.6,2.24
Carlisle,US,1586914769,40.2,-77.19,90,70,46.0,10.29
East London,ZA,1586914770,-33.02,27.91,97,72,64.9,8.19
Bonfim,BR,1586914770,3.08,-59.95,76,45,83.05,4.63
Urla,TR,1586914770,38.32,26.76,87,58,60.8,10.29
Khanbari,NP,1586914770,27.37,87.2,24,22,81.48,3.2
Klaksvík,FO,1586914668,62.23,-6.59,86,100,44.6,18.34
Grand Baie,MU,1586914771,-20.02,57.58,75,74,78.8,16.11
Bengkulu,ID,1586914671,-3.8,102.27,92,71,85.01,1.14
Mosetse,BW,1586914771,-20.75,26.65,52,39,70.05,8.9
Bilma,NE,1586914771,18.69,12.92,0,15,77.77,6.17
Hilo,US,1586914448,19.73,-155.09,40,61,80.6,12.75
Pevek,RU,1586914661,69.7,170.31,27,91,13.5,2.48
Yarmouth,US,1586914772,41.71,-70.23,1,66,48.99,8.05
Tubualá,PA,1586914772,9.52,-79.03,75,88,78.8,10.29
Meulaboh,ID,1586914719,4.14,96.13,43,66,85.12,2.24
Dingle,PH,1586914772,11.0,122.67,18,56,87.84,8.97
Sobolevo,RU,1586914667,54.43,31.9,100,85,32.85,11.48
Mossendjo,CG,1586914773,-2.95,12.73,100,87,70.7,0.6
Te Anau,NZ,1586914773,-45.42,167.72,93,54,52.18,4.12
Narsaq,GL,1586914670,60.92,-46.05,75,50,28.4,11.41
Mayumba,GA,1586914702,-3.43,10.66,100,86,79.84,6.51
Storforshei,NO,1586914773,66.4,14.52,93,93,30.45,5.35
Mikkeli,FI,1586914774,61.69,27.27,90,92,28.4,5.82
Mehamn,NO,1586914774,71.04,27.85,100,89,34.18,9.53
Melo,UY,1586914774,-32.37,-54.18,9,68,52.2,14.29
Rome,US,1586914550,43.21,-75.46,90,55,41.0,3.36
Tibati,CM,1586914774,6.47,12.63,95,60,69.71,2.21
Clyde River,CA,1586914775,70.47,-68.59,1,91,-0.4,3.36
Avarua,CK,1586914599,-21.21,-159.78,73,65,80.6,5.82
Banda Aceh,ID,1586914775,5.56,95.32,9,67,86.02,5.44
Lüderitz,NA,1586914705,-26.65,15.16,2,59,60.8,11.41
Namie,JP,1586914775,37.48,141.0,0,30,63.0,5.82
Saint Lawrence,MT,1586914775,36.06,14.2,97,93,60.01,13.87
Colac,AU,1586914776,-38.33,143.58,100,59,72.0,1.01
Mwinilunga,ZM,1586914776,-11.74,24.43,85,65,61.52,2.59
Kavieng,PG,1586914654,-2.57,150.8,55,74,83.25,6.76
Chegdomyn,RU,1586914776,51.12,133.02,0,39,48.87,5.91
Dunedin,NZ,1586914697,-45.87,170.5,100,70,52.0,1.01
Carnarvon,AU,1586914693,-24.87,113.63,37,57,75.2,27.51
Yellowknife,CA,1586914660,62.46,-114.35,90,95,32.0,9.17
Tadine,NC,1586914777,-21.55,167.88,99,78,77.41,15.99
Chumikan,RU,1586914777,54.72,135.31,0,60,42.17,6.33
Auki,SB,1586914703,-8.77,160.7,84,69,85.89,5.08
Lompoc,US,1586914777,34.64,-120.46,1,77,69.01,11.41
Esperance,AU,1586914703,-33.87,121.9,0,52,66.2,20.8
Taunggyi,MM,1586914778,20.78,97.03,0,19,85.14,4.32
Pangai,TO,1586914778,-19.8,-174.35,75,74,84.2,11.41
Mar del Plata,AR,1586914778,-38.0,-57.56,20,71,60.01,13.87
Upernavik,GL,1586914666,72.79,-56.15,97,92,20.41,4.32
Cidreira,BR,1586914696,-30.18,-50.21,42,73,61.21,20.65
Karatuzskoye,RU,1586914779,53.61,92.87,74,54,53.37,1.66
Dhamrai,BD,1586914779,23.92,90.21,75,83,82.4,5.82
Gien,FR,1586914779,47.69,2.63,0,61,42.01,10.09
Ust'-Barguzin,RU,1586914780,53.45,108.98,68,51,42.78,3.58
Qeshm,IR,1586914780,26.96,56.27,81,77,68.0,2.24
Hong Kong,HK,1586914524,22.29,114.16,20,60,73.99,3.36
Torbay,CA,1586914654,47.67,-52.73,90,93,44.01,20.8
Chui,UY,1586914703,-33.7,-53.46,100,77,59.65,25.93
Tolbazy,RU,1586914781,54.02,55.88,94,80,32.0,2.24
Thompson,CA,1586914663,55.74,-97.86,5,37,21.2,5.82
Bathsheba,BB,1586914669,13.22,-59.52,40,69,80.6,12.75
Souillac,MU,1586914687,-20.52,57.52,75,74,78.8,16.11
Tuatapere,NZ,1586914701,-46.13,167.68,100,95,46.99,4.0
Mildura,AU,1586914694,-34.2,142.15,97,23,79.0,14.99
Ilulissat,GL,1586914656,69.22,-51.1,100,79,24.8,2.24
São Francisco,BR,1586914782,-15.95,-44.86,45,75,69.76,4.74
Port Keats,AU,1586914782,-14.25,129.55,64,48,87.87,3.53
Margate,GB,1586914711,51.38,1.39,98,68,46.0,2.24
Pueblo Nuevo,MX,1586914782,23.38,-105.38,76,23,53.08,2.68
Presidencia Roque Sáenz Peña,AR,1586914783,-26.79,-60.44,14,55,54.07,2.21
Tambura,SS,1586914783,5.6,27.47,97,56,70.79,1.7
Kampot,KH,1586914783,10.62,104.18,40,83,82.4,4.7
New Norfolk,AU,1586914690,-42.78,147.06,75,87,61.0,3.36
Arvika,SE,1586914783,59.66,12.59,100,80,42.01,5.82
Channel-Port aux Basques,CA,1586914784,47.57,-59.14,93,86,34.81,11.68
Umm Bāb,QA,1586914784,25.21,50.81,75,73,72.0,11.41
Tommot,RU,1586914784,58.96,126.29,2,60,41.52,7.85
Saint Anthony,US,1586914710,45.02,-93.22,90,63,28.0,8.05
Ambunti,PG,1586914784,-4.24,142.84,99,52,91.85,2.77
Santa Lucía,ES,1586914785,27.91,-15.54,40,68,66.2,8.05
Khatanga,RU,1586914667,71.97,102.5,53,90,3.47,4.16
Ozernovskiy,RU,1586914785,51.5,156.52,100,89,31.93,6.76
Zeya,RU,1586914785,53.75,127.27,0,44,48.54,4.79
Bobo-Dioulasso,BF,1586914786,11.18,-4.3,19,58,84.2,9.17
Manaus,BR,1586914786,-3.1,-60.02,20,88,80.6,2.24
Orange Walk District,BZ,1586914786,17.83,-88.83,20,79,84.2,5.82
Moose Factory,CA,1586914786,51.26,-80.61,90,66,15.8,9.17
Soc Trang,VN,1586914786,9.6,105.98,36,51,90.05,16.24
Sur,OM,1586914787,22.57,59.53,61,34,84.52,6.76
Merta,IN,1586914787,26.65,74.03,86,20,87.04,13.47
Pitimbu,BR,1586914787,-7.47,-34.81,20,94,77.0,4.38
Ucluelet,CA,1586914787,48.93,-125.55,5,76,61.0,9.17
Severo-Yeniseyskiy,RU,1586914681,60.37,93.04,0,63,44.17,3.0
Kwang Binh,VN,1586914787,17.48,106.6,98,74,77.09,4.12
Road Town,VG,1586914788,18.42,-64.62,1,74,80.6,9.17
Cabedelo,BR,1586914788,-6.98,-34.83,20,94,77.0,5.53
Ust-Nera,RU,1586914788,64.57,143.2,94,84,21.02,6.6
Chokurdakh,RU,1586914661,70.63,147.92,0,90,-0.72,8.01
Muisne,EC,1586914789,0.6,-80.03,100,82,78.04,4.27
Pisco,PE,1586914713,-13.7,-76.22,75,78,71.6,10.29
Bonavista,CA,1586914789,48.65,-53.11,63,81,39.99,1.01
Puerto Peñasco,MX,1586914789,31.32,-113.53,0,35,77.0,13.0
Saint George,US,1586914789,37.1,-113.58,1,12,62.6,11.41
Touros,BR,1586914658,-5.2,-35.46,75,88,80.6,5.82
Cayenne,GF,1586914790,4.93,-52.33,83,88,77.0,5.28
Kununurra,AU,1586914714,-15.77,128.73,13,43,89.6,5.82
Esim,GH,1586914716,4.87,-2.24,84,83,81.27,6.13
Norman Wells,CA,1586914790,65.28,-126.83,20,51,39.2,6.93
Laas,IT,1586914790,46.62,10.7,5,80,37.0,3.36
Oak Ridge,US,1586914724,36.01,-84.27,90,52,46.99,3.36
Puerto El Triunfo,SV,1586914791,13.28,-88.55,20,83,82.4,5.82
Kenai,US,1586914791,60.55,-151.26,90,65,48.2,8.05
Atar,MR,1586914684,20.52,-13.05,0,25,69.19,6.87
Areosa,PT,1586914791,41.72,-8.86,99,63,62.6,9.17
Airai,TL,1586914658,-8.93,125.41,87,53,72.5,3.24
Chateaubelair,VC,1586914792,13.28,-61.25,2,75,78.01,5.01
Nipawin,CA,1586914792,53.37,-104.0,1,62,23.0,6.93
Samarai,PG,1586914721,-10.62,150.67,1,72,85.14,9.01
Tura,IN,1586914684,25.52,90.22,8,42,87.19,7.11
Sochi,RU,1586914792,43.6,39.73,40,50,55.0,8.95
Denpasar,ID,1586914675,-8.65,115.22,20,89,86.0,4.7
Jumla,NP,1586914793,29.27,82.18,54,24,58.28,1.05
Queenstown,ZA,1586914793,-31.9,26.88,88,64,51.3,2.33
Fortuna,US,1586914653,40.6,-124.16,20,54,60.8,14.99
Omboué,GA,1586914793,-1.57,9.26,99,87,79.43,6.02
Maţāy,EG,1586914793,28.42,30.78,0,52,59.7,9.17
Lagoa,PT,1586914676,39.05,-27.98,67,65,56.07,20.36
Baruun-Urt,MN,1586914794,46.68,113.28,95,35,47.98,8.95
Hobyo,SO,1586914794,5.35,48.53,54,76,83.53,10.36
Vanimo,PG,1586914712,-2.67,141.3,100,71,84.85,4.81
Ol'ga,RU,1586914794,43.74,135.29,35,63,43.0,9.01
São Miguel,BR,1586914795,-5.47,-35.37,75,88,82.4,5.82
Sokolo,ML,1586914795,14.73,-6.12,78,48,80.76,15.55
Hofn,IS,1586914670,64.25,-15.21,97,76,36.97,15.12
Birchiş,RO,1586914795,45.97,22.17,0,88,32.0,8.05
Nosy Varika,MG,1586914795,-20.58,48.53,7,89,72.12,3.58
Adrar,MR,1586914796,20.5,-10.07,0,50,74.66,6.82
Flinders,AU,1586914694,-34.58,150.86,74,34,78.8,8.05
Tortosa,ES,1586914796,40.81,0.52,0,100,53.01,5.82
Pavlovka,RU,1586914796,52.69,47.14,24,65,41.04,7.78
Qasigiannguit,GL,1586914796,68.82,-51.19,98,79,24.8,2.24
Chipinge,ZW,1586914797,-20.19,32.62,8,57,62.26,3.6
Umm Kaddadah,SD,1586914797,13.6,26.69,33,19,67.33,13.02
Hanumāngarh,IN,1586914797,29.58,74.32,99,10,91.27,3.94
San Gabriel,US,1586914798,34.1,-118.11,1,49,78.8,5.82
Natal,BR,1586914689,-5.79,-35.21,75,88,82.4,5.82
Oussouye,SN,1586914798,12.48,-16.55,81,83,77.0,4.7
Warrington,GB,1586914798,53.39,-2.58,77,87,44.01,2.24
Port Blair,IN,1586914635,11.67,92.75,95,72,83.59,6.42
Deoband,IN,1586914799,29.7,77.68,100,27,86.14,7.56
Gizo Government Station,SB,1586914799,-8.1,156.84,88,77,84.36,8.88
Koulikoro,ML,1586914799,14.0,-7.75,55,58,77.0,10.38
Maragogi,BR,1586914718,-9.01,-35.22,25,77,78.17,3.36
Krasne,UA,1586914799,49.91,24.61,34,80,30.2,4.47
Gold Coast,AU,1586914799,-28.0,153.43,40,57,82.0,5.82
Bonthe,SL,1586914656,7.53,-12.51,100,83,80.31,2.95
Tezu,IN,1586914800,27.92,96.17,0,19,95.09,3.2
Kumul,CN,1586914801,42.8,93.45,84,23,70.97,5.5
Los Llanos de Aridane,ES,1586914801,28.66,-17.92,32,68,64.4,10.29
Port Hedland,AU,1586914719,-20.32,118.57,70,46,91.4,5.82
Rincon,US,1586914524,32.3,-81.24,90,73,77.0,5.82
Rumonge,BI,1586914801,-3.97,29.44,100,58,70.7,2.77
Port Lincoln,AU,1586914621,-34.73,135.87,100,28,77.36,17.72
South Venice,US,1586914802,27.05,-82.42,75,94,82.0,6.93
Marawi,PH,1586914682,8.0,124.29,91,40,85.98,5.32
Boden,SE,1586914802,65.83,21.69,90,92,30.2,4.7
Codajás,BR,1586914802,-3.84,-62.06,98,90,75.85,2.89
Inhambane,MZ,1586914707,-23.86,35.38,8,86,76.05,9.46
Fairfield,US,1586914645,41.27,-73.32,90,39,51.01,7.18
Fort Nelson,CA,1586914803,58.81,-122.7,90,74,44.6,9.17
Slavyanka,RU,1586914803,42.86,131.38,0,46,49.96,11.54
Qaanaaq,GL,1586914656,77.48,-69.36,100,93,14.92,3.09
Alta Floresta,BR,1586914693,-9.88,-56.09,100,90,71.4,2.91
Kilindoni,TZ,1586914804,-7.91,39.67,100,79,82.38,13.82
Bunbury,AU,1586914804,-33.33,115.63,20,45,69.01,15.79
Manado,ID,1586914804,1.49,124.85,20,79,84.2,3.36
Panzhihua,CN,1586914805,26.59,101.71,0,51,66.99,1.77
Jalu,LY,1586914805,29.03,21.55,85,20,72.97,18.54
Grindavik,IS,1586914670,63.84,-22.43,75,86,37.4,21.92
Yarim,YE,1586914805,14.3,44.38,73,40,55.87,2.66
Mikumi,TZ,1586914805,-7.4,36.98,84,80,69.26,2.17
Kanchanaburi,TH,1586914806,14.63,99.1,88,44,91.17,0.83
Maués,BR,1586914806,-3.38,-57.72,96,95,74.57,2.46
Broome,US,1586914706,42.25,-75.83,90,48,43.0,11.41
Sitka,US,1586914674,57.05,-135.33,90,87,50.0,4.7
Chicama,PE,1586914691,-7.84,-79.15,21,69,74.86,5.41
Alofi,NU,1586914698,-19.06,-169.92,90,73,79.88,10.51
Veinticinco de Mayo,AR,1586914678,-35.43,-60.17,0,73,57.99,1.99
Acarí,PE,1586914807,-15.43,-74.62,45,67,71.06,2.62
Sangar,RU,1586914807,63.92,127.47,56,90,29.14,16.71
Kikwit,CD,1586914807,-5.04,18.82,30,79,73.09,1.7
Zhigalovo,RU,1586914808,54.81,105.16,0,34,54.28,1.28
Makueni Boma,KE,1586914808,-1.8,37.62,100,69,64.0,2.08
Daru,PG,1586914808,-9.08,143.21,88,75,84.56,10.78
Sayyan,YE,1586914808,15.17,44.32,33,39,57.25,3.29
Portland,US,1586914504,45.52,-122.68,20,26,69.8,4.7
Lata,PT,1586914714,40.16,-8.33,75,87,55.0,9.17
Kaitangata,NZ,1586914691,-46.28,169.85,100,69,52.0,8.99
Severo-Kuril'sk,RU,1586914809,50.68,156.12,100,94,31.86,13.98
Jagatsinghapur,IN,1586914809,20.27,86.17,40,88,82.4,6.93
Emba,KZ,1586914809,48.83,58.14,22,58,42.58,9.13
Korla,CN,1586914809,41.76,86.15,89,16,70.27,13.96
Al Bardīyah,LY,1586914810,31.76,25.09,91,29,66.06,15.03
Half Moon Bay,US,1586914645,37.46,-122.43,1,39,78.8,14.99
Paamiut,GL,1586914810,61.99,-49.67,99,90,28.49,10.2
Bambous Virieux,MU,1586914810,-20.34,57.76,75,74,78.8,16.11
Ballina,AU,1586914700,-28.87,153.57,3,53,77.0,5.82
Gilgit,PK,1586914811,35.92,74.31,92,34,55.15,5.48
Ulladulla,AU,1586914811,-35.35,150.47,62,34,78.8,8.05
Kariba,ZW,1586914811,-16.52,28.8,1,56,69.96,3.44
Molos,GR,1586914811,38.82,22.65,20,81,55.99,5.82
Luba,GQ,1586914812,3.46,8.55,100,81,82.04,5.82
Vardø,NO,1586914657,70.37,31.11,100,89,36.25,11.9
Tasiilaq,GL,1586914657,65.61,-37.64,2,89,32.0,18.34
Acapulco de Juárez,MX,1586914600,16.86,-99.89,5,83,78.8,9.17
Kruisfontein,ZA,1586914696,-34.0,24.73,0,83,55.04,5.64
Angoche,MZ,1586914813,-16.23,39.91,3,86,76.37,1.54
Kindu,CD,1586914813,-2.95,25.95,99,82,70.38,2.08
Annau,TM,1586914813,37.89,58.52,41,93,42.8,4.7
Aktash,RU,1586914813,50.3,87.73,26,35,35.44,2.1
Cherskiy,RU,1586914662,68.75,161.3,100,94,9.03,9.91
Atambua,ID,1586914814,-9.11,124.89,76,66,82.94,1.41
Urucará,BR,1586914814,-2.54,-57.76,72,96,74.16,2.62
Tateyama,JP,1586914814,34.98,139.87,40,59,66.0,5.82
Tutin,RS,1586914814,42.99,20.33,94,73,28.78,3.74
Bokoro,TD,1586914814,12.38,17.06,52,13,78.87,10.31
Fairbanks,US,1586914801,64.84,-147.72,75,34,51.8,0.43
Isiro,CD,1586914815,2.77,27.62,100,75,67.71,2.86
Anchorage,US,1586914523,61.22,-149.9,90,45,50.0,6.93
Tual,ID,1586914698,-5.67,132.75,93,72,83.25,3.09
Kiunga,PG,1586914815,-6.12,141.29,71,52,92.21,3.47
Palmer,US,1586914693,42.16,-72.33,90,31,52.0,8.05
Ossora,RU,1586914816,59.24,163.07,6,89,25.05,5.21
Nadvoitsy,RU,1586914816,63.87,34.32,0,96,27.25,4.61
Saint-André-les-Vergers,FR,1586914816,48.29,4.05,0,56,42.8,5.82
Faya,SA,1586914657,18.39,42.45,20,82,62.6,8.05
Sault Ste. Marie,CA,1586914671,46.52,-84.33,90,79,24.8,6.93
Northam,GB,1586914708,51.03,-4.22,8,100,43.0,7.99
Henties Bay,NA,1586914817,-22.12,14.28,0,92,55.99,1.99
Tabou,CI,1586914709,4.42,-7.35,67,85,79.66,4.52
Savalou,BJ,1586914817,7.93,1.98,54,74,80.04,7.43
Alyangula,AU,1586914703,-13.85,136.42,40,59,89.6,12.75
Port Elizabeth,ZA,1586914691,-33.92,25.57,10,93,60.8,5.82
Riyadh,SA,1586914657,24.69,46.72,3,52,64.4,9.31
Vestmannaeyjar,IS,1586914653,63.44,-20.27,100,79,40.01,19.28
Ayan,RU,1586914818,56.45,138.17,0,79,35.15,8.3
Satinka,RU,1586914818,52.38,41.68,100,65,44.73,15.46
Novaya Bryan’,RU,1586914818,51.72,108.27,100,60,42.8,15.66
Dale,US,1586914819,38.17,-86.99,1,33,42.8,1.81
Bantogon,PH,1586914819,6.53,124.03,16,73,81.64,7.38
Show Low,US,1586914544,34.25,-110.03,1,23,48.99,10.29
Ténenkou,ML,1586914819,14.46,-4.92,80,45,79.99,18.25
São João da Barra,BR,1586914714,-21.64,-41.05,44,82,74.59,17.63
Pangnirtung,CA,1586914665,66.15,-65.71,84,84,8.83,6.76
Eenhana,NA,1586914704,-17.47,16.33,0,46,67.15,2.3
Tignère,CM,1586914820,7.37,12.65,80,45,70.52,2.19
Tautira,PF,1586914695,-17.73,-149.15,6,70,87.8,16.11
Hojāi,IN,1586914820,26.0,92.87,59,31,91.2,2.04
Namatanai,PG,1586914686,-3.67,152.43,86,70,83.52,1.72
Arkhangelsk,RU,1586914820,64.54,40.54,90,100,33.8,3.04
Vila Velha,BR,1586914676,-20.33,-40.29,35,83,75.2,2.24
Along,IN,1586914821,28.17,94.77,1,32,87.48,0.85
Davila,PH,1586914821,18.47,120.58,40,78,82.4,8.05
Antofagasta,CL,1586914585,-23.65,-70.4,90,77,66.2,5.82
Leningradskiy,RU,1586914670,69.38,178.42,100,93,15.1,3.65
Bodden Town,KY,1586914822,19.28,-81.25,0,74,82.0,4.0
Kawalu,ID,1586914822,-7.38,108.21,52,57,86.07,3.47
Suntar,RU,1586914822,62.14,117.63,100,86,34.11,5.86
Kuching,MY,1586914822,1.55,110.33,20,83,84.2,4.7
Saint-Augustin,CA,1586914823,51.23,-58.65,3,91,29.57,13.33
Beyneu,KZ,1586914823,45.32,55.2,0,49,48.22,13.2
Talnakh,RU,1586914665,69.49,88.4,1,77,-0.4,17.9
Aldan,RU,1586914823,58.6,125.39,36,62,35.8,5.41
Tokoroa,NZ,1586914823,-38.23,175.87,99,80,61.0,13.0
Baykit,RU,1586914666,61.67,96.37,77,81,39.4,0.63
Būlaevo,KZ,1586914824,54.91,70.44,100,85,37.17,13.82
Prince Rupert,CA,1586914619,54.32,-130.32,90,93,46.4,3.36
Gejiu,CN,1586914824,23.31,103.16,0,34,67.12,6.26
Ust'-Koksa,RU,1586914824,50.27,85.61,88,41,47.44,4.03
Khani,GE,1586914824,41.96,42.96,100,41,59.0,14.99
Tombouctou,ML,1586914824,20.0,-3.0,100,34,81.25,14.43
Vila Franca do Campo,PT,1586914825,37.72,-25.43,75,87,53.6,6.93
Stokmarknes,NO,1586914825,68.56,14.91,45,74,39.0,8.01
Chernyshevskiy,RU,1586914825,63.01,112.47,100,87,29.97,8.63
Alice Springs,AU,1586914825,-23.7,133.88,0,20,82.4,5.82
Hienghène,NC,1586914826,-20.68,164.93,76,76,79.7,11.77
Ancud,CL,1586914517,-41.87,-73.82,75,100,50.0,18.34
Ilebo,CD,1586914826,-4.32,20.58,70,78,73.76,1.63
Ust-Maya,RU,1586914826,60.42,134.53,100,80,34.57,6.44
Hargeisa,SO,1586914826,9.56,44.06,88,52,71.4,9.26
Mount Isa,AU,1586914827,-20.73,139.5,23,27,91.4,11.41
Batagay,RU,1586914827,67.63,134.63,100,92,17.65,8.84
Antalaha,MG,1586914703,-14.9,50.28,31,79,76.69,7.58
Kavaratti,IN,1586914827,10.57,72.64,23,70,83.97,4.07
Bethel,US,1586914658,41.37,-73.41,90,39,52.0,5.99
Kärdla,EE,1586914828,59.0,22.75,100,92,35.01,11.99
Kreminna,UA,1586914720,49.05,38.22,100,83,44.44,13.8
Salé,MA,1586914828,34.04,-6.82,40,72,63.0,9.17
Diapaga,BF,1586914828,12.07,1.79,45,23,88.88,4.03
Avera,US,1586914694,33.19,-82.53,75,83,75.2,3.36
Katobu,ID,1586914709,-4.94,122.53,71,57,89.6,2.91
